Concept,Member,#Fully specified name:es,#Fully specified name:en,Member Type,Sort Weight,Void/Retire
bf96c5a3-7031-41de-b245-1a6637a61292,165632AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Alta prioridad para vacunación de COVID-19,High priority for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) vaccination,CONCEPT-SET,1,
bf96c5a3-7031-41de-b245-1a6637a61292,3cd24178-26fe-102b-80cb-0017a47871b2,cefalea,Headache,CONCEPT-SET,2,
bf96c5a3-7031-41de-b245-1a6637a61292,165621AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,COVID-19 detectado,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) detected,CONCEPT-SET,3,
bf96c5a3-7031-41de-b245-1a6637a61292,165914AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Diarrea aguda debido a COVID-19,Acute diarrhea due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),CONCEPT-SET,4,
bf96c5a3-7031-41de-b245-1a6637a61292,158843AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Dolor de garganta,Sore throat,CONCEPT-SET,5,
bf96c5a3-7031-41de-b245-1a6637a61292,165623AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Enfermedad debida a COVID-19,Disease due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),CONCEPT-SET,6,
bf96c5a3-7031-41de-b245-1a6637a61292,165630AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Enfermedad respiratoria aguda debida a COVID-19,Acute respiratory disease due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),CONCEPT-SET,7,
bf96c5a3-7031-41de-b245-1a6637a61292,165610AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Exposición a COVID-19,Exposure to COVID-19,CONCEPT-SET,8,
bf96c5a3-7031-41de-b245-1a6637a61292,165631AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Exposición cercana a COVID-19,Close exposure to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),CONCEPT-SET,9,
bf96c5a3-7031-41de-b245-1a6637a61292,141600AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Falta de aliento,Shortness of breath,CONCEPT-SET,10,
bf96c5a3-7031-41de-b245-1a6637a61292,3cf1898e-26fe-102b-80cb-0017a47871b2,Fever,Fever,CONCEPT-SET,11,
bf96c5a3-7031-41de-b245-1a6637a61292,3cd4c100-26fe-102b-80cb-0017a47871b2,Fiebre con escalofríos,Fever with chills,CONCEPT-SET,12,
bf96c5a3-7031-41de-b245-1a6637a61292,165913AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Gastroenteritis debido a COVID-19,Gastroenteritis due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),CONCEPT-SET,13,
bf96c5a3-7031-41de-b245-1a6637a61292,165866AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Historia de COVID-19,History of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) disease,CONCEPT-SET,14,
bf96c5a3-7031-41de-b245-1a6637a61292,165912AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Infección asintomática confirmada por COVID-19,Asymptomatic confirmed infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),CONCEPT-SET,15,
bf96c5a3-7031-41de-b245-1a6637a61292,165609AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Infección debida a COVID-19,Infection due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),CONCEPT-SET,16,
bf96c5a3-7031-41de-b245-1a6637a61292,165633AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Infección del tracto respiratorio superior debida a COVID-19,Upper respiratory tract infection due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),CONCEPT-SET,17,
bf96c5a3-7031-41de-b245-1a6637a61292,3cf2c128-26fe-102b-80cb-0017a47871b2,mialgia,Muscle pain,CONCEPT-SET,18,
bf96c5a3-7031-41de-b245-1a6637a61292,135588AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pérdida de gusto,Loss of Taste,CONCEPT-SET,19,
bf96c5a3-7031-41de-b245-1a6637a61292,135589AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pérdida de olfato,Loss of Sense of Smell,CONCEPT-SET,20,
bf96c5a3-7031-41de-b245-1a6637a61292,165608AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pneumonía debida a COVID-19,Pneumonia due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),CONCEPT-SET,21,
bf96c5a3-7031-41de-b245-1a6637a61292,145696AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,sabañones,Chilblains,CONCEPT-SET,22,
bf96c5a3-7031-41de-b245-1a6637a61292,165843AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Síndrome de dificultad respiratoria aguda,Acute respiratory distress syndrome (ARDS),CONCEPT-SET,23,
bf96c5a3-7031-41de-b245-1a6637a61292,165612AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Sospecha de infección por COVID-19,Suspected severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection,CONCEPT-SET,24,
bf96c5a3-7031-41de-b245-1a6637a61292,1488AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Tos no productiva,Non-productive cough,CONCEPT-SET,25,
