Concept,Member,#Fully specified name:es,#Fully specified name:en,Member Type,Sort Weight,Void/Retire
7014024a-c0d0-4885-beab-f5166619be7c,149938AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Abdomen agudo,Acute Abdomen,CONCEPT-SET,1,
7014024a-c0d0-4885-beab-f5166619be7c,120295AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Aborto completo,Complete abortion,CONCEPT-SET,2,
7014024a-c0d0-4885-beab-f5166619be7c,150746AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,aborto con sepsis,Abortion with sepsis,CONCEPT-SET,3,
7014024a-c0d0-4885-beab-f5166619be7c,3cd505b6-26fe-102b-80cb-0017a47871b2,Aborto incompleto,Incomplete abortion,CONCEPT-SET,4,
7014024a-c0d0-4885-beab-f5166619be7c,150737AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,abrasión,Abrasion,CONCEPT-SET,5,
7014024a-c0d0-4885-beab-f5166619be7c,143367AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Abrasión corneal,Corneal abrasion,CONCEPT-SET,6,
7014024a-c0d0-4885-beab-f5166619be7c,157512AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Absceso hepático excluyendo absceso amebiano del hígado,liver abscess excluding amebic liver abscess,CONCEPT-SET,7,
7014024a-c0d0-4885-beab-f5166619be7c,fdcebb03-3c5c-4d61-8a71-8c4a2e0ae6cb,Absceso periamigdalino,Peritonsillar abscess,CONCEPT-SET,8,
7014024a-c0d0-4885-beab-f5166619be7c,577c5c7b-d4b0-4f8a-8102-34ec1ad3f151,Absceso perianal,Perianal Abscess,CONCEPT-SET,9,
7014024a-c0d0-4885-beab-f5166619be7c,127484AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Absceso retrofaringeo y parafaringeo,Retropharyngeal and parapharyngeal abscess,CONCEPT-SET,10,
7014024a-c0d0-4885-beab-f5166619be7c,152370AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,abuso sexual,Sexual Abuse,CONCEPT-SET,11,
7014024a-c0d0-4885-beab-f5166619be7c,111103AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,accidente cerebrovascular,Cerebrovascular accident,CONCEPT-SET,12,
7014024a-c0d0-4885-beab-f5166619be7c,3cccd076-26fe-102b-80cb-0017a47871b2,Accidente de tráfico,Transport accident,CONCEPT-SET,13,
7014024a-c0d0-4885-beab-f5166619be7c,3cd48c44-26fe-102b-80cb-0017a47871b2,Acné,Acne,CONCEPT-SET,14,
